Bank,Chunk,ROM,SPC Address,Size
0,0,$348000,$F000,3747
1,0,$348EAB,$11B0,16
1,1,$348EBF,$1100,32
1,2,$348EE3,$1200,17568
2,0,$3A8000,$F000,3400
3,0,$3A8D50,$1100,32
3,1,$3A8D74,$1200,21744
3,2,$3AE268,$11B0,16
4,0,$358000,$1100,16
4,1,$358014,$1200,2352
4,2,$358948,$11B0,4
4,3,$358950,$F000,2719
5,0,$3593F7,$F000,3222
5,1,$35A091,$1100,32
5,2,$35A0B5,$1200,21792
5,3,$35F5D9,$11B0,12
6,0,$338000,$E600,2478
6,1,$3389B2,$11D8,32
6,2,$3389D6,$1150,64
6,3,$338A1A,$7000,29264
7,0,$398000,$F000,2107
7,1,$39883F,$1100,16
7,2,$398853,$1200,7952
7,3,$39A767,$11B0,6
8,0,$369B3A,$F000,642
8,1,$369DC0,$1100,16
8,2,$369DD4,$1200,10704
8,3,$36C7A8,$11B0,2
9,0,$37D803,$F000,2765
10,0,$368ABB,$F000,2126
11,0,$369311,$F000,2081
12,0,$378000,$1100,32
12,1,$378024,$1200,19072
12,2,$37CAA8,$11B0,10
12,3,$37CAB6,$F000,3397
13,0,$388000,$F000,2958
14,0,$36C7B2,$F000,3076
15,0,$39A775,$F000,4000
16,0,$38EA4C,$F000,3212
17,0,$38F6E0,$F000,1049
18,0,$36D3BE,$1100,16
18,1,$36D3D2,$1200,9072
18,2,$36F746,$11B0,6
19,0,$3AE280,$F000,1309
20,0,$39B71D,$F000,2869
21,0,$388B96,$1100,48
21,1,$388BCA,$1200,24160
21,2,$38EA2E,$11B0,22
