sample,address,bank,size,loop_point
0x00,0x01E0,0xDE,0x0438,0x0438
0x01,0x0618,0xDE,0x08E5,0x08E5
0x02,0x0000,0x00,0x0000,0x0000
0x03,0x0EFD,0xDE,0x130E,0x07D7
0x04,0x220B,0xDE,0x0AEF,0x0249
0x05,0x0000,0x00,0x0000,0x0000
0x06,0x0000,0x00,0x0000,0x0000
0x07,0x2CFA,0xDE,0x0369,0x0369
0x08,0x0000,0x00,0x0000,0x0000
0x09,0x3063,0xDE,0x0BA3,0x0BA3
0x0A,0x3C06,0xDE,0x1BF3,0x1BF3
0x0B,0x57F9,0xDE,0x095A,0x001B
0x0C,0x6153,0xDE,0x0D14,0x07AA
0x0D,0x6E67,0xDE,0x18C9,0x0BD9
0x0E,0x8730,0xDE,0x1B2D,0x0E22
0x0F,0xA25D,0xDE,0x15F9,0x15F9
0x10,0xB856,0xDE,0x1878,0x11CA
0x11,0xD0CE,0xDE,0x1F65,0x12F3
0x12,0xF033,0xDE,0x0924,0x05A9
0x13,0xF957,0xDE,0x258C,0x207C
0x14,0x1EE3,0xDF,0x0441,0x0117
0x15,0x2324,0xDF,0x01C2,0x0171
0x16,0x24E6,0xDF,0x0831,0x072C
0x17,0x2D17,0xDF,0x12E1,0x1290
0x18,0x3FF8,0xDF,0x0C33,0x0C33
0x19,0x4C2B,0xDF,0x0384,0x0240
0x1A,0x0000,0x00,0x0000,0x0000
0x1B,0x4FAF,0xDF,0x03F0,0x022E
0x1C,0x539F,0xDF,0x33FF,0x2367
0x1D,0x879E,0xDF,0x03CC,0x03CC
0x1E,0x8B6A,0xDF,0x1104,0x04BF
0x1F,0x9C6E,0xDF,0x0ACB,0x07A1
0x20,0xA739,0xDF,0x1ADC,0x0510
0x21,0xC215,0xDF,0x26C7,0x26C7
0x22,0xE8DC,0xDF,0x2247,0x0129
0x23,0x0B23,0xE0,0x1236,0x07A1
0x24,0x1D59,0xE0,0x134D,0x134D
0x25,0x0000,0x00,0x0000,0x0000
0x26,0x30A6,0xE0,0x0759,0x0759
0x27,0x37FF,0xE0,0x1383,0x0FC0
0x28,0x4B82,0xE0,0x10A1,0x09CF
0x29,0x5C23,0xE0,0x66F0,0x5646
0x2A,0xC313,0xE0,0x2B08,0x1FD1
0x2B,0xEE1B,0xE0,0x0ACB,0x0ACB
0x2C,0xF8E6,0xE0,0x58C5,0x4149
0x2D,0x0000,0x00,0x0000,0x0000
0x2E,0x51AB,0xE1,0x0D77,0x058E
0x2F,0x5F22,0xE1,0x3609,0x2826
0x30,0x952B,0xE1,0x1A79,0x1A79
0x31,0xAFA4,0xE1,0x0D26,0x0396
0x32,0xBCCA,0xE1,0x18C9,0x10AA
0x33,0xD593,0xE1,0x101A,0x068A
0x34,0xE5AD,0xE1,0x0DB6,0x001B
0x35,0xF363,0xE1,0x4755,0x0D77
0x36,0x3AB8,0xE2,0x1D64,0x0291
0x37,0x581C,0xE2,0x2BCE,0x2193
0x38,0x83EA,0xE2,0x2436,0x001B
0x39,0xA820,0xE2,0x007E,0x003F
0x3A,0xA89E,0xE2,0x003F,0x001B
0x3B,0xA8DD,0xE2,0x28AD,0x0630
